text,label
"about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",POSITIVE
drab and inert,NEGATIVE
"a heavy stench of ` been there , done that ' hanging over the film",NEGATIVE
gives his best screen performance,POSITIVE
their feces,NEGATIVE
It 's so devoid of joy and energy it makes even Jason X ... look positively Shakesperean by comparison .,NEGATIVE
that is often quite rich and exciting,POSITIVE
"that zings all the way through with originality , humour and pathos",POSITIVE
"funny , charming and quirky",POSITIVE
is powerful and provocative .,POSITIVE
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story",NEGATIVE
"Fails as a dystopian movie , as a retooling of Fahrenheit 451 , and even as a rip-off of The Matrix",NEGATIVE
damned wonderful,POSITIVE
above its oh-so-Hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism,POSITIVE
this is cinema,POSITIVE
too immature and unappealing to care about,NEGATIVE
"fast , funny , and even touching story",POSITIVE
This painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ...,NEGATIVE
"... as stiff , ponderous and charmless as a mechanical apparatus",NEGATIVE
Below is well below expectations .,NEGATIVE
a brainless flibbertigibbet,NEGATIVE
"is , in a word , brilliant",POSITIVE
enjoyably over-the-top,POSITIVE
"because it has some of the funniest jokes of any movie this year , including those intended for adults",POSITIVE
but never less than pure wankery .,NEGATIVE
the most enchanting film of the year,POSITIVE
'll still be glued to the screen,POSITIVE
Stale and,NEGATIVE
of bringing a barf bag to the moviehouse,NEGATIVE
it 's good enough to be the purr,POSITIVE
profoundly stupid,NEGATIVE
the most savory and hilarious guilty pleasure of many a recent movie season,POSITIVE
more satisfying during a summer of event movies than a spy thriller like The Bourne Identity that 's packed with just as much intelligence as action,POSITIVE
there 's much to recommend the film .,POSITIVE
makes a feature debut that is fully formed and remarkably assured,POSITIVE
sordid and disgusting,NEGATIVE
seem to match the power of their surroundings .,POSITIVE
's badder than bad,NEGATIVE
a skillful filmmaker,POSITIVE
thoroughly entertaining,POSITIVE
"a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing",POSITIVE
"This movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",NEGATIVE
effectively creepy-scary thriller,POSITIVE
"'s sweet , funny , charming , and completely delightful .",POSITIVE
churn out one mediocre movie after another,NEGATIVE
It 's hard to imagine acting that could be any flatter .,NEGATIVE
"One of those staggeringly well-produced ,",POSITIVE
Eckstraordinarily lame and Severely,NEGATIVE
"touching , smart and complicated",POSITIVE
It 's also not smart or barbed enough for older viewers -- not everyone thinks poo-poo jokes are ` edgy,NEGATIVE
"Even as I valiantly struggled to remain interested , or at least conscious , I could feel my eyelids ... getting ... very ... heavy ...",NEGATIVE
"catch the pitch of his poetics , savor the pleasure of his sounds and images ,",POSITIVE
Nicholas Nickleby '' is a perfect family film to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year .,POSITIVE
Kidman has become one of our best actors,POSITIVE
's so badly made on every level that I 'm actually having a hard time believing people were paid to make it,NEGATIVE
a well-balanced fashion,POSITIVE
magnetic performance,POSITIVE
sits in the place where a masterpiece should be,POSITIVE
taken the protagonists a full hour,NEGATIVE
this a superior movie,POSITIVE
very enjoyable,POSITIVE
Smart and fun,POSITIVE
"A directorial tour de force by Bernard Rose , ivans",POSITIVE
", Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",NEGATIVE
a huge cut of above the rest,POSITIVE
David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .,POSITIVE
A terrifically entertaining specimen,POSITIVE
One of the most depressing movie-going experiences I can think of,NEGATIVE
hot,POSITIVE
is impressive for the sights and sounds of the wondrous beats the world has to offer .,POSITIVE
"candid , archly funny and deeply authentic",POSITIVE
farcical and loathsome,NEGATIVE
an unimaginative screenwriter 's invention,NEGATIVE
is extraordinary .,POSITIVE
is a masterpiece of elegant wit and artifice,POSITIVE
"'s as sorry a mess as its director 's diabolical debut , Mad Cows",NEGATIVE
"has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",POSITIVE
than like being stuck in a dark pit having a nightmare about bad cinema,NEGATIVE
Elizabeth Hurley seem graceless and ugly,NEGATIVE
with a screenplay to die for,POSITIVE
"poorly scripted ,",NEGATIVE
"there is almost nothing in this flat effort that will amuse or entertain them , either .",NEGATIVE
"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",POSITIVE
90 punitive minutes,NEGATIVE
", this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",POSITIVE
